question,answer
Book a flight from Delhi to Mumbai,Your flight from Delhi to Mumbai has been booked successfully.
I want to book a ticket to Hyderabad,Sure! Your ticket to Hyderabad has been booked.
Book a flight to Chennai for tomorrow,Your flight to Chennai for tomorrow is confirmed.
Cancel my ticket to Goa,Your ticket to Goa has been canceled successfully.
Can you cancel my flight to Delhi,Your Delhi flight booking has been canceled.
Reschedule my flight from Pune to Kolkata,Your flight from Pune to Kolkata has been rescheduled.
Book a hotel in Bangalore for two nights,Your hotel in Bangalore has been booked for two nights.
Reserve a hotel in Jaipur for this weekend,Hotel in Jaipur reserved successfully for the weekend.
Cancel my hotel booking in Hyderabad,Your Hyderabad hotel booking has been canceled.
Book me a ticket from Mumbai to Goa for Friday,Your Mumbai to Goa flight for Friday has been booked.
I need a flight ticket to Delhi,Your flight ticket to Delhi has been confirmed.
Book a hotel room in Delhi,Hotel room in Delhi booked successfully.
I want to cancel my train ticket to Chennai,Your train ticket to Chennai has been canceled.
Can you book a return flight from Delhi to Kochi,Return flight from Delhi to Kochi has been booked.
Change my hotel booking from 10th to 12th Jan,Your hotel booking has been changed to 10th–12th Jan.
Book a flight to Jaipur on August 15th,Your flight to Jaipur on August 15th is confirmed.
I need a flight to Goa tomorrow morning,Your Goa flight for tomorrow morning is booked.
Book my tickets to Pune,Your tickets to Pune are booked.
Book a flight ticket to Delhi on 20th November,Flight to Delhi on 20th November confirmed.
Cancel my flight to Mumbai,Your Mumbai flight has been canceled.
Book a hotel in Hyderabad for next week,Your Hyderabad hotel booking for next week is done.
Cancel my flight booking,Your flight booking has been canceled.
I need to change my flight date,Your flight date has been updated successfully.
Book me a room in Chennai hotel,Room in Chennai hotel booked.
Reserve a flight from Delhi to Goa,Flight from Delhi to Goa reserved.
Book hotel in Agra for two nights,Hotel in Agra booked for two nights.
I want to cancel my hotel reservation,Your hotel reservation has been canceled.
Can you book a flight to Kolkata tonight,Your Kolkata flight for tonight has been confirmed.
Reschedule my ticket from Mumbai to Delhi,Your Mumbai–Delhi ticket has been rescheduled.
Book a flight ticket to Kochi on Friday,Your Kochi flight for Friday has been booked.
